Time,Pbat1,Pgrid,Pultracap,PBat2,P-load3,SOC_BAT1
0,-3.19998719689297,49248.4022131845,7.15842558840496e-08,-3.19998719689297,49238.8022515938,70.9864603481624
0.1,10799.6422091425,-10860.1483534207,153.825353131537,153.240224808544,0,70.9864522384654
0.2,11105.7691434134,-10222.3491513026,67.5764168366712,355.222412563514,0,70.986436636401
0.3,10661.608126775,-10081.8861162401,7.35206138875089,780.551580339144,0,70.9864133977239
0.4,10386.0204134166,-9639.89933079862,-35.8302469671295,566.175226444741,0,70.9863816455623
0.5,10596.5501538754,-10440.745984817,-53.5301988181535,306.067173821845,0,70.986340815724
0.6,10511.1899003255,-9918.86853892695,57.5025384724594,-28.3566768610808,0,70.9862909588808
0.7,10670.5164436672,-10138.1498053655,200.528968259374,126.48379231745,0,70.9862321473409
0.8,10449.4363987765,-10057.1998229167,377.209336180188,437.953785783136,0,70.9861656797039
0.9,11085.0675689606,-10498.0895213295,581.639124705801,333.902845685221,0,70.9860907186104
1,11466.1002738663,-10504.0835219933,809.819392257456,39.802650249201,0,70.9860082278376
1.1,10705.1929259843,-9041.34568164598,1193.36878080888,300.503901047996,0,70.9859174222156
1.2,10372.977451921,-8640.78438541373,-2992.95701084454,245.646003951446,0,70.9858171766679
1.3,10373.1902960777,-8664.93292811047,-2517.97201926446,259.739102018687,0,70.985708123133
1.4,10415.848566351,-8246.51137807452,-2012.69610491617,-200.391696604748,0,70.9855906603005
1.5,10378.7484919262,-8434.34669649204,-1462.77616473349,26.2228489119857,0,70.9854649710139
1.6,11091.0501540005,-10059.9249213031,-750.423344108951,857.647457374453,0,70.9853315972684
1.7,11047.8318412338,-9011.16952660061,22.4022770601076,-173.004899356372,0,70.9851905587393
1.8,11398.5087607577,-9738.47117755005,839.794983028475,189.243385265924,0,70.9850415936541
1.9,10979.7454515553,-9241.70013956589,-2894.30191256661,133.635617176669,0,70.9848840702186
2,11614.6494739963,-9800.51841737194,-1952.58563996289,48.9000217701293,0,70.9847182061198
2.1,12377.5398049997,-10575.1865870467,-845.394380189928,107.429353204503,0,70.9845447906794
2.2,12455.2183294049,-10782.7771209225,328.711119806636,197.979883546749,0,70.9843637747927
2.3,11506.1876423803,-10076.6098248686,-3033.38737728462,373.930464224384,0,70.9841754769897
2.4,10928.9360012936,-9016.8750753557,-1725.97151424903,-147.577213104652,0,70.9839803714052
2.5,11076.6210335587,-10163.9715250071,-350.283966794977,838.815334149416,0,70.9837784030351
2.6,12010.9149055027,-9250.3445693325,-3390.30863358644,71.818913138789,0,70.9835695418639
2.7,12621.5058126254,-10132.514603707,-1738.72612985511,292.888464841097,0,70.9833537909452
2.8,11674.5753487002,-9260.08990554526,-20.9264138574437,370.177644385903,0,70.9831320000053
2.9,11001.8465843578,-8408.38061199098,-2820.57009776082,189.393399136496,0,70.9829038430593
3,11403.3297975561,-8917.36141378929,-928.346088228876,304.177775547989,0,70.982668785298
3.1,12269.8900682706,-9784.89286655096,-3440.42940353266,299.15902219413,0,70.9824275219746
3.2,11620.3139480189,-8906.77559007947,-1240.6489292186,17.8620543964573,0,70.9821787211807
3.3,12551.9531461458,-10459.3730737683,-3566.54406059791,635.44493104755,0,70.9819232858499
3.4,11504.0921352173,-9110.83840216536,-1189.18643085039,329.739431568639,0,70.981660579693
3.5,11844.5171390458,-9331.33750487307,-3330.37163058563,211.901916793795,0,70.9813910645008
3.6,11893.7279670219,-11027.2765892547,-633.440263229823,896.234317320801,0,70.9811151491758
