Time,Pbat1,Pgrid,Pultracap,PBat2,P-load3,SOC_BAT1
0,-3.19998719689297,49248.4022131845,7.15842558840496e-08,-3.19998719689297,49238.8022515938,70.9864603481624
0.1,14407.9657462079,-11190.810130832,-2799.77297697004,283.573895673099,0,70.9864522679904
0.2,14663.2476766602,-11610.8322321952,-5664.41542297483,555.766874661838,0,70.9864372817365
0.3,13827.9102265258,-11153.5299462883,-3728.17113342923,876.179298581369,0,70.9864143594292
0.4,13818.7433898676,-10939.0305290424,-6229.13877593764,611.968629794112,0,70.9863824638681
0.5,13699.1679508504,-9317.84931803531,-3927.57178161178,325.298078849555,0,70.9863419828634
0.6,13842.1925375931,-10542.6910476832,-5913.23599832284,451.965763422523,0,70.9862929403794
0.7,14568.3333323253,-10919.385177635,-3079.03078088706,118.904600180834,0,70.9862352478291
0.8,14194.3207846679,-11275.760910912,-4660.82634597062,868.114014284857,0,70.9861691278034
0.9,14268.5883005933,-10791.1469616649,-6041.91777013508,316.439996302962,0,70.9860940405031
1,14585.6731375714,-10752.7174465246,-2620.8914478005,-17.3672235684644,0,70.9860107984783
1.1,14872.6379749436,-10838.5280282545,-3445.38248337596,776.08148994413,0,70.9859196870545
1.2,14654.692514853,-10625.9857309449,-4063.21811131248,729.683168332306,0,70.9858206868225
1.3,14359.3256859582,-10284.1983426944,-4461.95538929611,718.865210661442,0,70.9857137540737
1.4,14327.0303766496,-9343.35683130565,-4646.70644213722,-189.529771122201,0,70.9855994802405
1.5,14525.9804689044,-9685.95978034838,-4621.86792341142,-41.4787915201503,0,70.9854773538186
1.6,14968.4680584579,-11000.5568594904,-4229.4249891957,914.985735631038,0,70.9853476702142
1.7,14377.6500070611,-10113.8477254034,-3605.01268573462,662.31447939508,0,70.985210069049
1.8,14460.1203005855,-9357.17625767748,-2744.96851637983,-165.403916931022,0,70.9850642824028
1.9,14432.2976506778,-9721.57240662601,-6278.09063675982,226.051492395561,0,70.9849106215046
2,15206.2857976684,-10997.0809209598,-4948.4221580837,725.114803642851,0,70.9847490930308
2.1,14920.0997153186,-9873.13526633703,-3249.44926184126,995.5165720991,0,70.9845802741374
2.2,15560.5836984719,-9416.25507505787,-5900.53478400437,-57.7072891800842,0,70.984404053827
2.3,15291.8233449209,-9239.09451714054,-3686.20637747556,15.4077202530307,0,70.9842197408906
2.4,15403.6423653173,-10129.9218063658,-5854.72917810636,753.453748741993,0,70.9840278049276
2.5,15900.0006810384,-9880.5972632112,-3164.7897485946,13.9854721653753,0,70.9838283894497
2.6,15322.7738698226,-9554.61132762486,-4644.31042552147,284.716010491701,0,70.9836220528125
2.7,15050.6618432898,-8888.94403169962,-5902.51621310708,-109.442438199893,0,70.9834091975339
2.8,15289.6103638139,-10186.605145855,-6861.62361193152,950.092118092782,0,70.9831901443845
2.9,16343.9156642124,-10961.3236639941,-7585.58796092031,667.591468382029,0,70.9829646866695
3,15121.0446768375,-9128.54458962043,-3436.96794747685,59.5420131355995,0,70.9827335425166
3.1,15688.9447860891,-9641.74648341304,-8052.42564947175,91.1325429343126,0,70.982496979784
3.2,15473.1717767073,-10086.2827272061,-7785.37062070664,801.065975199015,0,70.9822558868852
3.3,16658.2380916675,-11108.7483731317,-7231.63167579769,652.018576520712,0,70.9820104008255
3.4,15389.1643437285,-9310.49794603502,-6399.6073244474,155.756845598817,0,70.9817598633855
3.5,16396.30463182,-10369.7147263046,-5301.0587259083,211.344711415726,0,70.9815044054494
3.6,16051.4284586851,-9785.8428334798,-8339.98834218974,50.8558499876572,0,70.9812442279523
3.7,16576.5955800657,-10739.667570557,-6476.41301297533,454.478870641009,0,70.9809781172849
3.8,16481.7724201008,-10591.9022783699,-4307.88234937181,453.278702440969,0,70.9807059031252
